               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.042968,            0.010949,           0.0027071,             0.89366,             0.88658,             0.92103,             0.42958,            0.042094,           0.0078888,           0.0027786,            0.005347,            0.005347,            0.005347
                  49,            0.040501,            0.010988,           0.0022396,             0.97248,             0.91704,             0.95267,             0.44941,            0.040648,           0.0078001,           0.0028069,            0.005248,            0.005248,            0.005248
                  50,            0.041648,            0.011243,           0.0030551,             0.95293,             0.91859,             0.95165,             0.43196,            0.041755,           0.0075769,           0.0027916,            0.005149,            0.005149,            0.005149
                  51,            0.040987,             0.01093,           0.0027197,             0.95999,             0.93536,             0.95161,             0.46084,            0.038644,           0.0076313,           0.0028366,             0.00505,             0.00505,             0.00505
                  52,            0.039678,             0.01129,           0.0026105,              0.9998,             0.91159,               0.951,              0.4595,            0.039271,            0.007596,           0.0028984,            0.004951,            0.004951,            0.004951
                  53,             0.03951,            0.011056,           0.0024356,             0.94003,             0.86992,             0.91301,             0.46198,            0.039037,           0.0074663,           0.0028732,            0.004852,            0.004852,            0.004852
                  54,            0.037824,            0.010669,           0.0024489,             0.91173,              0.9154,             0.95755,             0.45681,            0.038581,           0.0073414,            0.002813,            0.004753,            0.004753,            0.004753
                  55,            0.037711,             0.01047,           0.0028306,             0.86686,             0.90462,             0.94177,             0.46382,            0.039668,            0.007349,            0.002784,            0.004654,            0.004654,            0.004654
                  56,            0.037628,             0.01115,           0.0026864,             0.88586,             0.90385,              0.9444,             0.46447,             0.03891,           0.0072861,           0.0027237,            0.004555,            0.004555,            0.004555
                  57,            0.036656,             0.01029,            0.002006,             0.93521,             0.91818,             0.94479,             0.48818,            0.038751,           0.0072613,           0.0027405,            0.004456,            0.004456,            0.004456
                  58,            0.037671,           0.0099419,            0.002328,             0.93512,             0.95052,              0.9537,              0.4867,            0.037661,           0.0072632,           0.0027077,            0.004357,            0.004357,            0.004357
                  59,            0.036534,            0.010497,           0.0022651,             0.92342,             0.96433,             0.98566,             0.49224,            0.037176,           0.0072517,           0.0027657,            0.004258,            0.004258,            0.004258
                  60,            0.036597,            0.010499,           0.0025877,              0.9658,             0.94579,             0.97126,              0.5133,            0.036663,           0.0071783,           0.0027145,            0.004159,            0.004159,            0.004159
                  61,            0.035666,            0.011273,           0.0023513,             0.96594,             0.94231,             0.96285,             0.49898,            0.038173,           0.0072374,           0.0026886,             0.00406,             0.00406,             0.00406
